"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-05-27",,"58","51"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-05-28",,"62","52"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-05-29",,"70","52"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-05-30",,"70","48"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-05-31",,"71","55"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-06-01",,"70","54"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-06-02",,"72","53"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-06-03",,"78","59"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-06-04",,"76","61"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-06-05",,"90","64"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-06-06",,"90","70"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-06-07",,"74","65"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-06-08",,"76","54"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-06-09",,"75","55"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-06-10",,"89","58"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-06-11",,"92","69"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-06-12",,"74","62"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-06-13",,"72","62"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-06-14",,"79","65"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-06-15",,"85","64"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-06-16",,"68","61"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-06-17",,"64","54"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-06-18",,"86","60"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-06-19",,"92","67"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-06-20",,"97","68"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-06-21",,"92","75"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-06-22",,"97","64"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-06-23",,"77","61"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-06-24",,"81","57"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-06-25",,"78","56"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-06-26",,"60","56"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-06-27",,"61","56"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-06-28",,"68","55"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-06-29",,"77","52"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-06-30",,"81","57"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-07-01",,"83","59"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-07-02",,"84","62"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-07-03",,"81","63"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-07-04",,"80","63"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-07-05",,"85","60"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-07-06",,"83","66"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-07-07",,"84","67"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-07-08",,"87","66"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-07-09",,"83","69"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-07-10",,"78","61"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-07-11",,"82","66"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-07-12",,"86","61"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-07-13",,"92","66"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-07-14",,"76","65"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-07-15",,"80","66"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-07-16",,"89","69"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-07-17",,"88","71"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-07-18",,"90","68"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-07-19",,"86","70"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-07-20",,"88","63"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-07-21",,"87","63"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-07-22",,"92","68"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-07-23",,"82","64"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-07-24",,"83","55"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-07-25",,"89","57"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-07-26",,"96","68"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-07-27",,"79","63"
